ReactionTime Block1;Stimuli Onset Time Block1;Stimuli Offset Time Block1;Fixation Cross Onset Time Block1;Fixation Cross Offset Time Block1;Blank Screen Onset Time Block1;Blank Screen Offset Time Block1;Feedback Onset Time Block1;Feedback Offset Time Block1;Stimuli On Screen Time Block1;Presented Condition Block1;Answers Block1;Answer Codes Block1;Distractor Modality Block1;;;;;Congruent_reaktionstid;Congruent_accuracy;Incongruent_reaktionstid;Incongruent_accuracy;Neutral_reaktionstid;neutral_accuracy;;audio_visual_reaktionstid;audio_visual_accuracy;visual_reaktionstid;visual_accuracy;audio_reaktionstid;audio_accuracy
1,759998;1,02;1,219999;0,02;1,02;1,219999;6,219995;6,219995;6,719995;0,1999998;Congruent;Correct;1;audio visual;;;;;1,759998;Correct;0;0;0;0;;1,759998;Correct;0;0;0;0
1,280023;7,739994;7,939993;6,739995;7,739994;7,939993;12,94011;12,94011;13,44012;0,1999998;Neutral;Correct;1;audio;;total reaktion time;2,305666567;;0;0;0;0;1,280023;Correct;;0;0;0;0;1,280023;Correct
2,180049;14,46014;14,66015;13,46012;14,46014;14,66015;19,66026;19,66026;20,16027;0,2000046;Neutral;Correct;1;visual;;correct;112;;0;0;0;0;2,180049;Correct;;0;0;2,180049;Correct;0;0
1,560036;21,18029;21,3803;20,18027;21,18029;21,3803;26,38041;26,38041;26,88042;0,2000046;Congruent;Correct;1;visual;;Incorrect;22;;1,560036;Correct;0;0;0;0;;0;0;1,560036;Correct;0;0
1,620037;27,90045;28,10045;26,90042;27,90045;28,10045;33,10057;33,10057;33,60058;0,2000046;Congruent;Correct;1;visual;;total asnwered;144;;1,620037;Correct;0;0;0;0;;0;0;1,620037;Correct;0;0
1,420033;34,6206;34,82061;33,62058;34,6206;34,82061;39,82072;39,82072;40,32073;0,2000046;Congruent;Correct;1;visual;;;;;1,420033;Correct;0;0;0;0;;0;0;1,420033;Correct;0;0
1,32003;41,34076;41,54076;40,34073;41,34076;41,54076;46,54087;46,54087;47,04089;0,2000046;Congruent;Correct;1;audio;;total Congruent reaktiontid;2,053400178;;1,32003;Correct;0;0;0;0;;0;0;0;0;1,32003;Correct
1,920044;48,06091;48,26091;47,06089;48,06091;48,26091;53,26103;53,26103;53,76104;0,2000046;Incongruent;Correct;1;audio;;total Congruent correct;39;;0;0;1,920044;Correct;0;0;;0;0;0;0;1,920044;Correct
2,460056;54,78106;54,98107;53,78104;54,78106;54,98107;59,98118;59,98118;60,48119;0,2000046;Incongruent;Incorrect;2;audio visual;;total Congruent incorrect;6;;0;0;2,460056;Incorrect;0;0;;2,460056;Incorrect;0;0;0;0
1,900043;61,50122;61,70122;60,50119;61,50122;61,70122;66,70082;66,70082;67,20074;0,2000046;Neutral;Correct;1;audio visual;;total concurent;48;;0;0;0;0;1,900043;Correct;;1,900043;Correct;0;0;0;0
