id,handedness,sex,age,multilingual,school,First_condition,Included
10103,right,girl,7,yes,south,PC,
10106,right,girl,7.64,yes,south,VR,
10107,right,girl,7.04,no,south,PC,1
10108,right,girl,7.13,yes,south,VR,
10110,right,boy,7.26,no,south,VR,
10113,right,boy,7.01,yes,south,PC,
10114,right,boy,7.75,no,south,VR,
10116,right,boy,7.56,no,south,VR,
10117,right,boy,NA,yes,south,PC,
10123,right,boy,7.34,yes,south,VR,
10124,right,girl,7.92,yes,south,VR,
10126,right,boy,7.11,yes,south,VR,
10127,right,boy,7.53,no,south,VR,
10128,right,girl,6.71,yes,south,VR,
10129,right,boy,7.43,yes,south,PC,
10131,right,boy,7.15,no,south,PC,
10133,right,girl,7.07,no,south,VR,1
10134,right,boy,6.82,yes,south,PC,
10136,left,boy,7.3,yes,south,PC,
10137,right,boy,6.84,yes,south,VR,1
10138,right,boy,NA,no,south,PC,1
10139,right,boy,7.64,,south,VR,1
10153,right,boy,7.19,yes,south,VR,
10154,right,boy,7.02,no,south,PC,
10156,right,girl,7.11,yes,south,PC,1
10157,right,boy,7.39,yes,south,VR,
10158,right,girl,7.11,no,south,VR,1
20002,right,boy,8.46,no,north,VR,
20003,right,girl,7.21,yes,north,PC,
20005,right,girl,NA,yes,north,PC,1
20006,right,girl,7.19,no,north,VR,
20008,right,boy,7.17,yes,north,PC,1
20009,right,girl,7.59,no,north,VR,
20020,left,girl,7.19,no,north,VR,
20021,,girl,7.04,no,north,PC,
20022,right,girl,7.43,no,north,PC,
30002,left,girl,6.87,yes,central,PC,
30003,right,girl,7.43,yes,central,VR,
30004,right,girl,7.19,no,central,PC,
30006,right,girl,7.15,yes,central,VR,
30009,right,boy,6.69,yes,central,PC,
30010,right,boy,7.18,no,central,VR,1
30012,left,boy,7.7,no,central,PC,
30013,right,boy,7.43,no,central,VR,
30019,right,girl,7.32,no,central,VR,
30020,right,boy,7.51,no,central,PC,1
30022,right,boy,7.15,yes,central,PC,
30023,right,boy,7.11,no,central,VR,
30024,right,boy,7.38,no,central,PC,
30025,right,boy,7.44,no,central,VR,1
30026,right,boy,6.69,yes,central,PC,
30027,right,boy,6.81,no,central,VR,1
30028,right,girl,6.85,no,central,PC,1
30030,right,girl,7.29,no,central,VR,
30032,right,girl,6.96,no,central,VR,
30033,right,girl,6.68,no,central,PC,
30034,right,girl,7.26,no,central,VR,1
30035,right,girl,7.37,yes,central,PC,
30036,right,girl,6.85,yes,central,VR,1
30040,right,girl,7.31,yes,central,VR,
30042,right,girl,6.96,no,central,VR,
30044,right,boy,7.48,no,central,VR,
30046,right,boy,7.64,yes,central,VR,
30048,right,girl,7.54,no,central,VR,
30049,right,girl,7.32,no,central,PC,1
30051,right,girl,6.91,no,central,PC,1
30052,right,boy,7.11,yes,central,VR,
30053,right,girl,6.95,no,central,PC,1
30054,right,boy,7.27,no,central,VR,
30055,right,boy,6.82,no,central,PC,
30058,right,girl,6.76,no,central,VR,
30060,right,boy,6.96,yes,central,PC,
30061,left,boy,7.78,no,central,VR,
