"","ID","stimuli_type","stimuli_compatibility","RT","RT_sd","RT_md","corrects","missed","condition","cost_ben_val","cost_benefit","RTCV","accuracy"
"1",10107,"audio","incongruent",1.75724685714286,0.379782365367296,1.720367,14,0,"VR",0.0800169999999998,"cost",0.216123513792929,0.875
"2",10107,"visual","incongruent",1.75142135714286,0.457502930406186,1.6403505,14,1,"VR",0.120026,"cost",0.261218083552734,0.875
"3",10107,"audio.visual","incongruent",1.7386308,0.579329867010343,1.5801925,14,0,"VR",0.0903170000000004,"cost",0.333210401547208,0.875
"4",10107,"audio","congruent",1.56818086666667,0.210893558393757,1.600342,15,0,"VR",0.040008,"benefit",0.134482930430106,0.9375
"5",10107,"visual","congruent",1.5914409375,0.362513692389951,1.460312,16,0,"VR",0.0600125,"benefit",0.2277895986259,1
"6",10107,"audio.visual","congruent",1.69445792857143,0.459810623841609,1.6503525,14,0,"VR",-0.160477,"benefit",0.27136148740457,0.875
"7",10107,"audio","neutral",1.69332973333333,0.412409104789245,1.64035,15,0,"VR",NA,NA,0.243549201712424,0.9375
"8",10107,"visual","neutral",1.59005483333333,0.253715081452273,1.5203245,12,1,"VR",NA,NA,0.159563730843416,0.75
"9",10107,"audio.visual","neutral",1.515803,0.245439199622291,1.4898755,14,0,"VR",NA,NA,0.161920249281926,0.875
"172",10107,"audio","incongruent",1.42293030714286,0.389684824239295,1.430027,14,0,"PC",0.119747,"cost",0.27386079436438,0.875
"173",10107,"visual","incongruent",1.29837625833333,0.317099227791842,1.219795,12,0,"PC",-0.270098,"cost",0.24422753093074,0.75
"174",10107,"audio.visual","incongruent",1.31086117692308,0.200516475119104,1.300278,13,0,"PC",-0.100021,"cost",0.152965454045841,0.8125
"175",10107,"audio","congruent",1.34153526153846,0.396183456917118,1.160248,13,0,"PC",0.150032,"benefit",0.295320941816153,0.8125
"176",10107,"visual","congruent",1.38008654,0.31307977328085,1.420303,15,0,"PC",0.0695899999999998,"benefit",0.226855174807262,0.9375
"177",10107,"audio.visual","congruent",1.44385874375,0.322397278397297,1.4501695,16,0,"PC",-0.0498704999999999,"benefit",0.223288656035676,1
"178",10107,"audio","neutral",1.356877,0.24111758136983,1.31028,12,0,"PC",NA,NA,0.177700396844983,0.75
"179",10107,"visual","neutral",1.61297185714286,0.623269566427025,1.489893,14,0,"PC",NA,NA,0.386410688857929,0.875
"180",10107,"audio.visual","neutral",1.46290126,0.362879925127287,1.400299,15,0,"PC",NA,NA,0.248054967925372,0.9375
"10",10133,"audio","incongruent",1.87580545714286,0.693416406957766,1.7898695,14,0,"VR",0.0901544999999999,"cost",0.369663284813099,0.875
"11",10133,"visual","incongruent",2.10955272666667,0.864041695500417,1.879684,15,0,"VR",0.239334,"cost",0.409585256902159,0.9375
"12",10133,"audio.visual","incongruent",1.84006721428571,0.475502672373333,1.849865,14,0,"VR",-0.1403845,"cost",0.258415925614932,0.875
"13",10133,"audio","congruent",1.85275388571429,0.558197092261559,1.8096965,14,0,"VR",-0.1099815,"benefit",0.301279677007051,0.875
"14",10133,"visual","congruent",1.77509580833333,0.585381694720761,1.7600635,12,0,"VR",-0.1197135,"benefit",0.32977470397521,0.75
"15",10133,"audio.visual","congruent",1.81444371428571,0.589203732360029,1.6798775,14,0,"VR",0.310372,"benefit",0.324729683109503,0.875
"16",10133,"audio","neutral",1.98172623076923,0.739619492157415,1.699715,13,0,"VR",NA,NA,0.373219812441158,0.8125
"17",10133,"visual","neutral",1.78570345454545,0.589145799022511,1.64035,11,1,"VR",NA,NA,0.3299236485895,0.6875
"18",10133,"audio.visual","neutral",2.1062337,0.538011890456387,1.9902495,10,2,"VR",NA,NA,0.255437889184086,0.625
"181",10133,"audio","incongruent",1.57476712666667,0.538836044902407,1.439758,15,0,"PC",-0.0602590000000001,"cost",0.342168715474122,0.9375
"182",10133,"visual","incongruent",1.37992246153846,0.206651981832023,1.400032,13,0,"PC",-0.20031,"cost",0.149756227318474,0.8125
"183",10133,"audio.visual","incongruent",1.51438066428571,0.473242117610773,1.370163,14,1,"PC",-0.0601425,"cost",0.312498784996034,0.875
"184",10133,"audio","congruent",1.72587157142857,0.438698402259669,1.630201,14,1,"PC",-0.130184,"benefit",0.254189482880549,0.875
"185",10133,"visual","congruent",1.69876653333333,0.631594595448792,1.399765,15,1,"PC",0.200577,"benefit",0.371795996127539,0.9375
"186",10133,"audio.visual","congruent",1.58488515384615,0.40175517213469,1.50032,13,1,"PC",-0.0700145000000001,"benefit",0.253491662256866,0.8125
"187",10133,"audio","neutral",1.56570875,0.417713023963303,1.500017,14,0,"PC",NA,NA,0.266788458558019,0.875
"188",10133,"visual","neutral",1.6695086,0.469864941653268,1.600342,15,0,"PC",NA,NA,0.281439066353577,0.9375
"189",10133,"audio.visual","neutral",1.57881431428571,0.522710068939294,1.4303055,14,0,"PC",NA,NA,0.331077609450088,0.875
"19",10137,"audio","incongruent",1.80677465833333,0.741594326341664,1.940235,12,2,"VR",0.2401925,"cost",0.41045203004217,0.75
"20",10137,"visual","incongruent",1.82679136666667,0.699540274466829,1.64989,6,2,"VR",-0.470563,"cost",0.38293386274497,0.375
"21",10137,"audio.visual","incongruent",1.97160557142857,0.335496682545375,1.92041,7,5,"VR",-0.0198250000000002,"cost",0.17016419886777,0.4375
"22",10137,"audio","congruent",2.08726490909091,0.523012671735295,2.140457,11,4,"VR",-0.4404145,"benefit",0.25057321160211,0.6875
"23",10137,"visual","congruent",1.6282643,0.341122879207951,1.550184,10,4,"VR",0.570269,"benefit",0.209500926359407,0.625
"24",10137,"audio.visual","congruent",1.93460018181818,0.461009657546307,1.959671,11,1,"VR",-0.0194359999999996,"benefit",0.238297123032957,0.6875
"25",10137,"audio","neutral",1.8621971,0.561711925511141,1.7000425,10,3,"VR",NA,NA,0.301639351447353,0.625
"26",10137,"visual","neutral",2.26026577777778,0.732314225511627,2.120453,9,4,"VR",NA,NA,0.32399474111032,0.5625
"27",10137,"audio.visual","neutral",2.18229757,1.16680672260161,1.940235,10,5,"VR",NA,NA,0.534668937289616,0.625
"190",10137,"audio","incongruent",1.86012277777778,0.523081255612065,1.840393,9,2,"PC",0.140358,"cost",0.281207919101432,0.5625
"191",10137,"visual","incongruent",1.92315983333333,0.46064974572246,1.9298535,6,1,"PC",0.169671,"cost",0.239527540944964,0.375
"192",10137,"audio.visual","incongruent",1.92243622222222,0.685292265829474,1.620346,9,1,"PC",-0.0393749999999999,"cost",0.356470741607915,0.5625
"193",10137,"audio","congruent",1.77702115384615,0.604372772846479,1.520325,13,2,"PC",0.17971,"benefit",0.340104433500065,0.8125
